cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
J,2017_2018,n_pfos,LBXNFOS,all,12-19,313,0.0,False,,0.7600000000000001,0.9,1.2,1.7,2.6,3.6,5.279999999999996
J,2017_2018,n_pfos,LBXNFOS,all,20-39,499,0.004008016032064128,False,,0.6,0.8,1.4,2.3,3.7,5.9,7.409999999999997
J,2017_2018,n_pfos,LBXNFOS,all,40-59,513,0.001949317738791423,False,,0.8,1.1,1.8,3.2,5.5,9.6,13.479999999999995
J,2017_2018,n_pfos,LBXNFOS,all,60_plus,604,0.004966887417218543,False,,1.215,1.7,2.9,4.85,8.825000000000001,14.7,21.225000000000012
J,2017_2018,n_pfos,LBXNFOS,all,all_ages,1929,0.003110419906687403,False,,0.7,1.0,1.7,3.0,5.4,9.8,14.5
J,2017_2018,n_pfos,LBXNFOS,female,12-19,149,0.0,False,,0.7,0.8,1.0,1.4,2.0,3.3,3.5599999999999996
J,2017_2018,n_pfos,LBXNFOS,female,20-39,270,0.003703703703703704,False,,0.5450000000000002,0.7,1.1,1.8,2.875,4.2,5.954999999999998
J,2017_2018,n_pfos,LBXNFOS,female,40-59,258,0.0,False,,0.6,0.9,1.5,2.3,4.425,6.7800000000000065,14.619999999999981
J,2017_2018,n_pfos,LBXNFOS,female,60_plus,300,0.0033333333333333335,False,,1.2950000000000002,1.4900000000000002,2.5,3.95,6.825,12.400000000000023,17.310000000000002
J,2017_2018,n_pfos,LBXNFOS,female,all_ages,977,0.0020470829068577278,False,,0.6,0.9,1.4,2.3,4.1,7.4,12.719999999999994
J,2017_2018,n_pfos,LBXNFOS,male,12-19,164,0.0,False,,0.8150000000000001,1.0,1.4,2.05,2.8,4.440000000000003,7.204999999999993
J,2017_2018,n_pfos,LBXNFOS,male,20-39,229,0.004366812227074236,False,,1.1,1.3,2.1,3.2,4.8,6.8,8.62
J,2017_2018,n_pfos,LBXNFOS,male,40-59,255,0.00392156862745098,False,,1.2,1.6,2.7,4.0,6.4,10.0,13.189999999999994
J,2017_2018,n_pfos,LBXNFOS,male,60_plus,304,0.006578947368421052,False,,1.215,2.2,3.5,5.65,9.65,16.2,22.95499999999999
J,2017_2018,n_pfos,LBXNFOS,male,all_ages,952,0.004201680672268907,False,,1.0,1.3,2.2,3.7,6.3,10.979999999999995,15.544999999999993
J,2017_2018,sb_pfoa,LBXBFOA,all,12-19,313,0.865814696485623,False,,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sb_pfoa,LBXBFOA,all,20-39,499,0.9178356713426854,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
J,2017_2018,sb_pfoa,LBXBFOA,all,40-59,513,0.9005847953216374,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.13999999999999774
J,2017_2018,sb_pfoa,LBXBFOA,all,60_plus,604,0.9039735099337748,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,all,all_ages,1929,0.9004665629860031,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,female,12-19,149,0.8926174496644296,False,,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sb_pfoa,LBXBFOA,female,20-39,270,0.9333333333333333,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
J,2017_2018,sb_pfoa,LBXBFOA,female,40-59,258,0.9069767441860465,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.1
J,2017_2018,sb_pfoa,LBXBFOA,female,60_plus,300,0.9066666666666666,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,female,all_ages,977,0.9119754350051177,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,male,12-19,164,0.8414634146341463,False,,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sb_pfoa,LBXBFOA,male,20-39,229,0.8995633187772926,False,,0.07,0.07,0.07,0.07,0.07,0.07600000000000051,0.15999999999999945
J,2017_2018,sb_pfoa,LBXBFOA,male,40-59,255,0.8941176470588236,False,,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sb_pfoa,LBXBFOA,male,60_plus,304,0.9013157894736842,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,male,all_ages,952,0.8886554621848739,False,,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sm_pfos,LBXMFOS,all,12-19,313,0.0,False,,0.3,0.3,0.4,0.6,0.9,1.480000000000001,1.9
