cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,race_ethnicity,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,n_pfoa,LBXNFOA,male,12-19,nh_white,57,8498675.320038,0.017543859649122806,True,WTSB2YR,0.7089916123903528,0.9594350121273282,1.2,1.4547553829101487,1.8,2.0,2.4466008132464006
I,2015_2016,n_pfoa,LBXNFOA,male,20-39,all,270,39364899.485848,0.011111111111111112,True,WTSB2YR,0.7,0.9688718413597243,1.3,1.7,2.3,3.0,3.5076112449988917
I,2015_2016,n_pfoa,LBXNFOA,male,20-39,hispanic,88,8435181.10052,0.0,True,WTSB2YR,0.6019569761969223,0.9,1.2,1.6,2.3,2.6303215802806568,3.0
I,2015_2016,n_pfoa,LBXNFOA,male,20-39,nh_asian,38,2683270.8213859997,0.0,True,WTSB2YR,0.8,0.9,1.2227730659570193,1.7710134253755965,2.159190198672368,3.160983803752859,6.13958739086938
I,2015_2016,n_pfoa,LBXNFOA,male,20-39,nh_black,51,4402312.5370660005,0.0196078431372549,True,WTSB2YR,0.6,0.7,1.0,1.4395477777061272,2.354882231822583,3.4778997963559215,3.839216722709828
I,2015_2016,n_pfoa,LBXNFOA,male,20-39,nh_white,77,21871687.884106003,0.025974025974025976,True,WTSB2YR,0.9452511096026877,1.0,1.3,1.7927090474192646,2.4,3.225353595322794,3.632886995033927
I,2015_2016,n_pfoa,LBXNFOA,male,40-59,all,247,39865668.375799,0.008097165991902834,True,WTSB2YR,0.5864181026856949,0.9,1.3,2.0,2.607714340980105,3.5,3.8
I,2015_2016,n_pfoa,LBXNFOA,male,40-59,hispanic,65,6254324.199072,0.015384615384615385,True,WTSB2YR,0.2,0.7,1.1,1.5,2.3,3.030134957078612,3.196585593248588
I,2015_2016,n_pfoa,LBXNFOA,male,40-59,nh_asian,33,2135567.379069,0.0,True,WTSB2YR,0.6214283396009864,0.971378126801246,1.1,2.051537328646679,2.9214979370493754,4.5,6.109350245319211
I,2015_2016,n_pfoa,LBXNFOA,male,40-59,nh_black,55,3975332.3875889997,0.0,True,WTSB2YR,0.8979828922892357,1.2424148765418972,1.6,2.0,2.6,3.539328150366721,3.6483921406016853
I,2015_2016,n_pfoa,LBXNFOA,male,40-59,nh_white,80,26102101.670417003,0.0125,True,WTSB2YR,0.6319863719131433,0.868549588762109,1.316001640232553,2.1,2.7,3.5,3.6002583054651986
I,2015_2016,n_pfoa,LBXNFOA,male,60_plus,all,253,28130413.361337,0.007905138339920948,True,WTSB2YR,0.7,1.0,1.5,2.1,2.7652096787352614,4.1,5.058276004581807
I,2015_2016,n_pfoa,LBXNFOA,male,60_plus,hispanic,70,2286972.526127,0.014285714285714285,True,WTSB2YR,0.3830162350927971,0.7711710160297262,1.3,1.7,2.3,2.859679587082539,3.332570369354162
I,2015_2016,n_pfoa,LBXNFOA,male,60_plus,nh_asian,20,1277268.062016,0.0,True,WTSB2YR,0.16346545282501632,0.3683429148520733,0.9,1.2880301534820433,2.528910245030401,4.3105913168610375,9.919297576855692
I,2015_2016,n_pfoa,LBXNFOA,male,60_plus,nh_black,50,2195348.019396,0.0,True,WTSB2YR,0.34668443981520747,0.6862611939136378,1.3759823331685812,2.0,2.8941835476477493,3.463122120357969,4.7435837641946215
I,2015_2016,n_pfoa,LBXNFOA,male,60_plus,nh_white,108,21165610.148724,0.009259259259259259,True,WTSB2YR,0.8,1.062235920673662,1.6,2.3,2.8087541842894477,4.454788773083226,5.1
I,2015_2016,n_pfoa,LBXNFOA,male,all_ages,all,964,122862473.920238,0.008298755186721992,True,WTSB2YR,0.7,0.9,1.3,1.8,2.5,3.3,4.0
I,2015_2016,n_pfoa,LBXNFOA,male,all_ages,hispanic,291,20653620.429385997,0.006872852233676976,True,WTSB2YR,0.6,0.8,1.1,1.4571344592711566,2.1,2.7,3.1
I,2015_2016,n_pfoa,LBXNFOA,male,all_ages,nh_asian,111,6799103.594126001,0.0,True,WTSB2YR,0.624822647504439,0.9,1.1,1.8,2.4410281220506693,4.407359404492729,6.555866899025699
I,2015_2016,n_pfoa,LBXNFOA,male,all_ages,nh_black,194,12366751.966443,0.005154639175257732,True,WTSB2YR,0.6,0.8,1.1761382476803093,1.6,2.5,3.404725180998267,3.666524759837639
I,2015_2016,n_pfoa,LBXNFOA,male,all_ages,nh_white,322,77638075.023285,0.015527950310559006,True,WTSB2YR,0.7,1.0,1.3,1.9,2.6,3.4,4.172071334413292
I,2015_2016,n_pfoa,LBXNFOA,male,all_ages,other,46,5404922.906998,0.0,True,WTSB2YR,0.9424685526402664,1.0704321728145922,1.2,1.7102424578938626,1.9808368371353797,3.607766155040203,3.941926327963294
I,2015_2016,n_pfos,LBXNFOS,all,12-19,all,353,28742791.005893,0.0028328611898017,True,WTSB2YR,0.8,1.0,1.5,2.078991572122195,3.1,4.4,5.1
I,2015_2016,n_pfos,LBXNFOS,all,12-19,hispanic,130,6997824.27094,0.0,True,WTSB2YR,0.8,0.8,1.1,1.5,2.2,2.9902528197908356,3.4834623600334185
I,2015_2016,n_pfos,LBXNFOS,all,12-19,nh_asian,39,1377664.71959,0.0,True,WTSB2YR,0.7449042002146715,0.9368827068113023,1.8168933034756412,2.3,4.7,6.965604025938655,8.43384060682121
I,2015_2016,n_pfos,LBXNFOS,all,12-19,nh_black,67,3407447.6515,0.0,True,WTSB2YR,0.7,0.9,1.5,1.9,2.8,3.6559906319732747,6.234072656266756
I,2015_2016,n_pfos,LBXNFOS,all,12-19,nh_white,98,15658118.155892,0.01020408163265306,True,WTSB2YR,0.8837773496969343,1.1804462090066767,1.7602850271072523,2.3,3.40133161862978,4.4,5.077812018042038
I,2015_2016,n_pfos,LBXNFOS,all,20-39,all,549,79256108.838349,0.01092896174863388,True,WTSB2YR,0.6,0.9,1.5,2.5,4.2,6.9,8.289425055689232
I,2015_2016,n_pfos,LBXNFOS,all,20-39,hispanic,169,16550408.021005,0.005917159763313609,True,WTSB2YR,0.7,0.9,1.4,2.3,3.5,5.288271817333914,7.7
I,2015_2016,n_pfos,LBXNFOS,all,20-39,nh_asian,70,5248054.9008760005,0.014285714285714285,True,WTSB2YR,0.6446721918837099,0.9852228478532326,1.9509649139570986,3.091828261999667,5.389499337728785,9.992191436668119,15.930263470894621
I,2015_2016,n_pfos,LBXNFOS,all,20-39,nh_black,123,10067450.671602001,0.024390243902439025,True,WTSB2YR,0.3307889988303854,0.7015485456164806,1.5,2.7,4.949422187336504,6.625946000772017,8.634140237262661
I,2015_2016,n_pfos,LBXNFOS,all,20-39,nh_white,160,43958961.62981,0.00625,True,WTSB2YR,0.6,0.966504985682433,1.5,2.5,4.3,6.86082747853345,8.215166672882964
I,2015_2016,n_pfos,LBXNFOS,all,20-39,other,27,3431233.6150559997,0.0,True,WTSB2YR,0.7372712410159475,0.8716702466458455,1.5,2.5493466803713725,5.432836076487193,6.8422933276798314,8.850746835378498
I,2015_2016,n_pfos,LBXNFOS,all,40-59,all,555,81222986.922307,0.0036036036036036037,True,WTSB2YR,0.977205707706799,1.3,2.208245748157183,3.5,5.383665537029292,9.1,12.697541380461647
I,2015_2016,n_pfos,LBXNFOS,all,40-59,hispanic,160,12426200.795291,0.0,True,WTSB2YR,0.7104736170514219,0.9023125740257417,1.678996601473151,3.2,4.8,7.511385095729222,9.768084749731134
I,2015_2016,n_pfos,LBXNFOS,all,40-59,nh_asian,70,4616352.381093999,0.0,True,WTSB2YR,0.8764006172802874,1.644555158921158,2.3,5.309061900263007,11.84321041237314,23.798460855691783,30.866776132938142
I,2015_2016,n_pfos,LBXNFOS,all,40-59,nh_black,148,9166387.196807,0.006756756756756757,True,WTSB2YR,0.8093349383936849,1.3,2.5,4.426615432593589,8.510904679907716,15.399572939729865,22.05108052313054
I,2015_2016,n_pfos,LBXNFOS,all,40-59,nh_white,152,51452850.669078,0.006578947368421052,True,WTSB2YR,1.007518069814243,1.3929900516538012,2.3,3.4,5.030120534282766,8.25357065664028,10.397175452162681
I,2015_2016,n_pfos,LBXNFOS,all,40-59,other,25,3561195.880037,0.0,True,WTSB2YR,1.9998510549999398,2.2573893526453586,3.703431322285771,4.1,4.293130724247437,6.865286052606526,9.206476177161184
I,2015_2016,n_pfos,LBXNFOS,all,60_plus,all,536,62574289.962322995,0.0037313432835820895,True,WTSB2YR,1.2,1.8765706542866218,3.2,5.3,8.1,13.402660510659885,19.609802394229472
I,2015_2016,n_pfos,LBXNFOS,all,60_plus,hispanic,170,5302997.298882,0.0058823529411764705,True,WTSB2YR,1.1414365320983175,2.0,3.0,4.7,7.014251488511294,11.100931081332442,15.608598239949892
I,2015_2016,n_pfos,LBXNFOS,all,60_plus,nh_asian,41,2781940.777012,0.0,True,WTSB2YR,0.6188164306318313,1.0,2.6755086951565596,7.480677467036127,22.522166138246615,42.91078046261142,57.3103687923708
I,2015_2016,n_pfos,LBXNFOS,all,60_plus,nh_black,101,5428775.014383999,0.0,True,WTSB2YR,1.3582043533626385,2.2995748654864725,4.056940318298481,7.3467121232960055,11.40391654754899,27.289190937123387,33.73858434181175
I,2015_2016,n_pfos,LBXNFOS,all,60_plus,nh_white,209,46494281.672055006,0.0,True,WTSB2YR,1.4329985568305421,1.9072425724489364,3.2,5.3,7.8,11.843652837306882,17.946903236300003
I,2015_2016,n_pfos,LBXNFOS,all,all_ages,all,1993,251796176.728872,0.0055193176116407425,True,WTSB2YR,0.8,1.2,1.9,3.2,5.567071647408263,8.9,12.84456633483677
I,2015_2016,n_pfos,LBXNFOS,all,all_ages,hispanic,629,41277430.386118,0.003179650238473768,True,WTSB2YR,0.8,0.9,1.4604194648977409,2.5,4.2,6.8,9.122921579333147
I,2015_2016,n_pfos,LBXNFOS,all,all_ages,nh_asian,220,14024012.778572,0.004545454545454545,True,WTSB2YR,0.8,1.0,2.1,3.8,8.702692203607414,21.468660244058036,33.26997309003521
I,2015_2016,n_pfos,LBXNFOS,all,all_ages,nh_black,439,28070060.534293003,0.009111617312072893,True,WTSB2YR,0.6141945882074065,1.1,1.9,3.4,6.7,12.207681227017526,19.261954414389816
I,2015_2016,n_pfos,LBXNFOS,all,all_ages,nh_white,619,157564212.126835,0.004846526655896607,True,WTSB2YR,0.9,1.2785313502985276,2.1,3.4,5.66802765845809,8.6,11.444817114159322
I,2015_2016,n_pfos,LBXNFOS,all,all_ages,other,86,10860460.903053999,0.011627906976744186,True,WTSB2YR,0.8716971000257367,1.3169165546933446,2.2,4.07215218296705,5.137572665423641,7.5,9.5
I,2015_2016,n_pfos,LBXNFOS,female,12-19,all,159,13241298.308639001,0.0,True,WTSB2YR,0.7700716150945544,0.8,1.2,1.8,2.304268298506265,3.5,4.608746706645578
I,2015_2016,n_pfos,LBXNFOS,female,12-19,hispanic,62,3320681.6672730003,0.0,True,WTSB2YR,0.5654392847910747,0.8,0.9502800686381201,1.3,1.8,2.3,2.5706495254066795
I,2015_2016,n_pfos,LBXNFOS,female,12-19,nh_black,29,1613688.629108,0.0,True,WTSB2YR,0.7,0.8262718177278804,1.3,1.8134753147387543,2.4,4.009348496702248,6.55831052386668
I,2015_2016,n_pfos,LBXNFOS,female,12-19,nh_white,41,7159442.8358539995,0.0,True,WTSB2YR,0.8,1.0340486901659767,1.4,1.9,2.7,3.5,4.424516041138823
I,2015_2016,n_pfos,LBXNFOS,female,20-39,all,279,39891209.352501,0.017921146953405017,True,WTSB2YR,0.5,0.7,1.2,1.7,2.7,3.930968117411915,5.964569854250091
I,2015_2016,n_pfos,LBXNFOS,female,20-39,hispanic,81,8115226.920485,0.012345679012345678,True,WTSB2YR,0.5,0.7295424824638553,1.0,1.6,2.6361016141350717,3.0,4.9841218185245735
I,2015_2016,n_pfos,LBXNFOS,female,20-39,nh_asian,32,2564784.07949,0.03125,True,WTSB2YR,0.2,0.6297592549463972,1.4577733631440206,2.3138866137195477,6.011608511711451,16.220922877708972,28.001665354024702
I,2015_2016,n_pfos,LBXNFOS,female,20-39,nh_black,72,5665138.134535999,0.027777777777777776,True,WTSB2YR,0.18141315131888824,0.5385527065315576,1.1510433215372986,1.8,2.9,3.9194022652432547,4.6192200913493435
I,2015_2016,n_pfos,LBXNFOS,female,20-39,nh_white,83,22087273.745704,0.012048192771084338,True,WTSB2YR,0.5743747110366104,0.7115690949156107,1.2,1.703677083938803,2.5,3.8,4.495596443524783
I,2015_2016,n_pfos,LBXNFOS,female,40-59,all,308,41357318.546508,0.003246753246753247,True,WTSB2YR,0.8,1.0,1.6,2.9,4.26369468676139,8.1,8.994483815177414
I,2015_2016,n_pfos,LBXNFOS,female,40-59,hispanic,95,6171876.5962189995,0.0,True,WTSB2YR,0.6059748319714479,0.8110996363440861,1.2,1.8404082864410636,3.6833708907168194,4.840852107176152,6.367466478179603
I,2015_2016,n_pfos,LBXNFOS,female,40-59,nh_asian,37,2480785.0020250003,0.0,True,WTSB2YR,1.1390270989983868,1.7452085168686564,2.355757452357159,4.274617180689372,13.191814254901916,23.327172092815875,48.342059647733166
I,2015_2016,n_pfos,LBXNFOS,female,40-59,nh_black,93,5191054.809218001,0.010752688172043012,True,WTSB2YR,0.5405070839032028,1.1,1.9,3.125323926186569,4.8,9.153720037240433,11.778166297230715
I,2015_2016,n_pfos,LBXNFOS,female,40-59,nh_white,72,25350748.998661,0.0,True,WTSB2YR,0.9,1.055315318402574,1.6,2.8565604335919157,3.9761686099340174,8.1,8.81076928813839
