cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
J,2017_2018,sb_pfoa,LBXBFOA,all,20-39,499,81661620.780698,0.9178356713426854,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.1
J,2017_2018,sb_pfoa,LBXBFOA,all,40-59,513,79211749.76572399,0.9005847953216374,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.1
J,2017_2018,sb_pfoa,LBXBFOA,all,60_plus,604,65270299.990158,0.9039735099337748,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sb_pfoa,LBXBFOA,all,all_ages,1929,255112859.42795503,0.9004665629860031,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,female,12-19,149,13672575.768884998,0.8926174496644296,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,female,20-39,270,41429468.845167994,0.9333333333333333,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.1
J,2017_2018,sb_pfoa,LBXBFOA,female,40-59,258,40225380.206749,0.9069767441860465,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.1
J,2017_2018,sb_pfoa,LBXBFOA,female,60_plus,300,36555825.911218,0.9066666666666666,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sb_pfoa,LBXBFOA,female,all_ages,977,131883250.73201999,0.9119754350051177,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.1
J,2017_2018,sb_pfoa,LBXBFOA,male,12-19,164,15296613.12249,0.8414634146341463,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sb_pfoa,LBXBFOA,male,20-39,229,40232151.93553001,0.8995633187772926,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sb_pfoa,LBXBFOA,male,40-59,255,38986369.558975,0.8941176470588236,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,male,60_plus,304,28714474.078939997,0.9013157894736842,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.2
J,2017_2018,sb_pfoa,LBXBFOA,male,all_ages,952,123229608.695935,0.8886554621848739,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.1,0.2
J,2017_2018,sm_pfos,LBXMFOS,all,12-19,313,28969188.891374998,0.0,True,WTSB2YR,0.3,0.4,0.5,0.7,1.0513928465167792,1.7,2.0251660915169225
J,2017_2018,sm_pfos,LBXMFOS,all,20-39,499,81661620.780698,0.006012024048096192,True,WTSB2YR,0.20960178554104544,0.3,0.6,0.9,1.5,2.3,3.015993996530435
J,2017_2018,sm_pfos,LBXMFOS,all,40-59,513,79211749.76572399,0.011695906432748537,True,WTSB2YR,0.33334312246665004,0.5,0.8,1.4,2.3,3.3812153345935205,3.8
J,2017_2018,sm_pfos,LBXMFOS,all,60_plus,604,65270299.990158,0.011589403973509934,True,WTSB2YR,0.5,0.7,1.2243138077754192,2.4,3.5,5.7,6.733323985334844
J,2017_2018,sm_pfos,LBXMFOS,all,all_ages,1929,255112859.42795503,0.00829445308449974,True,WTSB2YR,0.3,0.4,0.7,1.2,2.3,3.5,4.5
J,2017_2018,sm_pfos,LBXMFOS,female,12-19,149,13672575.768884998,0.0,True,WTSB2YR,0.2,0.3,0.4,0.6,0.8,1.5965257354583042,2.103554850215636
J,2017_2018,sm_pfos,LBXMFOS,female,20-39,270,41429468.845167994,0.003703703703703704,True,WTSB2YR,0.2,0.3,0.4,0.6,0.9,1.3,1.8849160878187854
J,2017_2018,sm_pfos,LBXMFOS,female,40-59,258,40225380.206749,0.011627906976744186,True,WTSB2YR,0.2,0.4,0.5,0.9892827590033841,1.7,2.447703345461624,3.2979739516105018
J,2017_2018,sm_pfos,LBXMFOS,female,60_plus,300,36555825.911218,0.006666666666666667,True,WTSB2YR,0.45534116377199896,0.7,1.1,2.0,2.9,5.093897207367407,6.540075813334005
J,2017_2018,sm_pfos,LBXMFOS,female,all_ages,977,131883250.73201999,0.006141248720573183,True,WTSB2YR,0.2,0.3,0.5,0.9,1.8,2.8,3.8
J,2017_2018,sm_pfos,LBXMFOS,male,12-19,164,15296613.12249,0.0,True,WTSB2YR,0.3548404723310719,0.4,0.6,0.8,1.1,1.7252046362206175,2.0
J,2017_2018,sm_pfos,LBXMFOS,male,20-39,229,40232151.93553001,0.008733624454148471,True,WTSB2YR,0.4,0.5,0.9,1.4,2.1,3.0,3.4
J,2017_2018,sm_pfos,LBXMFOS,male,40-59,255,38986369.558975,0.011764705882352941,True,WTSB2YR,0.8,0.9,1.3,1.8,3.0354092953862195,3.6725407575487763,4.502230389418174
J,2017_2018,sm_pfos,LBXMFOS,male,60_plus,304,28714474.078939997,0.01644736842105263,True,WTSB2YR,0.5,1.0,1.9,3.0,4.4,6.147709807754924,7.09235021652758
J,2017_2018,sm_pfos,LBXMFOS,male,all_ages,952,123229608.695935,0.01050420168067227,True,WTSB2YR,0.4,0.635587242448108,1.0,1.7,2.892118346855399,3.9,5.1686195966695285
P,2017_2020,n_pfoa,LBXNFOA,all,12-19,521,33819853.98283,0.0,True,WTSBAPRP,0.5,0.6,0.7,1.0,1.4,2.0,2.3132514453315274
P,2017_2020,n_pfoa,LBXNFOA,all,20-39,769,86628047.652376,0.007802340702210663,True,WTSBAPRP,0.4,0.5,0.7,1.2,1.7,2.3,2.8
P,2017_2020,n_pfoa,LBXNFOA,all,40-59,852,82164387.058604,0.0035211267605633804,True,WTSBAPRP,0.5,0.6,0.9,1.3,2.0,3.0,3.6
P,2017_2020,n_pfoa,LBXNFOA,all,60_plus,930,71657058.321361,0.005376344086021506,True,WTSBAPRP,0.5,0.8,1.2,1.8,2.5,3.4,4.3
P,2017_2020,n_pfoa,LBXNFOA,all,all_ages,3072,274269347.015171,0.004557291666666667,True,WTSBAPRP,0.4,0.6,0.9,1.3,2.0,2.9,3.5
P,2017_2020,n_pfoa,LBXNFOA,female,12-19,250,16521123.015159,0.0,True,WTSBAPRP,0.4,0.5,0.7,0.9,1.4,2.0,2.472474042674243
P,2017_2020,n_pfoa,LBXNFOA,female,20-39,433,43540906.743569,0.006928406466512702,True,WTSBAPRP,0.3,0.4,0.6,0.8,1.4,2.1,2.5
P,2017_2020,n_pfoa,LBXNFOA,female,40-59,428,42131179.999914,0.002336448598130841,True,WTSBAPRP,0.4,0.5,0.8,1.1,1.9,3.001773495642994,3.6
P,2017_2020,n_pfoa,LBXNFOA,female,60_plus,455,39068588.233408004,0.002197802197802198,True,WTSBAPRP,0.5,0.8,1.117067777086355,1.7775796970367763,2.511399063696864,3.5,4.4
P,2017_2020,n_pfoa,LBXNFOA,female,all_ages,1566,141261797.99205,0.0031928480204342275,True,WTSBAPRP,0.4,0.5,0.7,1.2,1.9,2.9,3.554795149158707
P,2017_2020,n_pfoa,LBXNFOA,male,12-19,271,17298730.967671,0.0,True,WTSBAPRP,0.6,0.7,0.88717335124225,1.1,1.6,2.0,2.323130190576366
P,2017_2020,n_pfoa,LBXNFOA,male,20-39,336,43087140.908806995,0.008928571428571428,True,WTSBAPRP,0.5,0.7,1.0,1.4,1.9,2.4,3.2
P,2017_2020,n_pfoa,LBXNFOA,male,40-59,424,40033207.05869,0.0047169811320754715,True,WTSBAPRP,0.7,0.8,1.1,1.5,2.1,2.9,3.6
P,2017_2020,n_pfoa,LBXNFOA,male,60_plus,475,32588470.087952998,0.008421052631578947,True,WTSBAPRP,0.5,0.7,1.2,1.9,2.5,3.4,4.1
P,2017_2020,n_pfoa,LBXNFOA,male,all_ages,1506,133007549.023121,0.00597609561752988,True,WTSBAPRP,0.6,0.7,1.0,1.5,2.0,2.8,3.5
P,2017_2020,n_pfos,LBXNFOS,all,12-19,521,33819853.98283,0.0,True,WTSBAPRP,0.7,0.8,1.1,1.7,2.6,3.9,6.1
P,2017_2020,n_pfos,LBXNFOS,all,20-39,769,86628047.652376,0.0039011703511053317,True,WTSBAPRP,0.7,0.9,1.4,2.2,3.655051941920817,5.51559402678484,6.7
P,2017_2020,n_pfos,LBXNFOS,all,40-59,852,82164387.058604,0.007042253521126761,True,WTSBAPRP,0.8,1.0,1.7,2.929318533085508,4.955698787190179,7.946037282366021,11.0
